datetime,gmx,gmvx,upper,lower,position
2010-04-09,-1.0345155528517997,0.15602271702522155,,,0.0
2010-04-16,-1.0896088426463244,0.16493974714234494,,,1.0
2010-04-23,-1.1212852727153624,0.31913532855188687,,,1.0
2010-04-30,-1.5259893853678155,0.6360072698242143,,,1.0
2010-05-07,-1.9968454771118156,0.9277372512299359,,,1.0
2010-05-14,-2.132485667190923,0.9437551641119873,,,1.0
2010-05-21,-2.161808204207923,0.5720472628012916,,,1.0
2010-05-28,-1.9631595508716342,0.3644955243112904,,,1.0
2010-06-04,-1.6121439263441921,-0.22941406060293712,,,0.0
2010-06-11,-1.529994644671717,-0.24464812202073577,,,0.0
2010-06-18,-1.4968408725121949,-0.08833991617480247,,,0.0
2010-06-25,-1.4848523662729018,-0.23205705185676576,,,0.0
2010-07-02,-1.5389571484150417,-0.3225883940816454,,,0.0
2010-07-09,-1.4414909406874434,-0.780713961777207,,,0.0
2010-07-16,-1.4364963379829367,-1.0472548723156518,,,0.0
2010-07-23,-1.33898896225168,-1.2367957077542835,,,0.0
2010-07-30,-1.0772672850707943,-1.0826080403424616,,,0.0
2010-08-06,-0.8933884409638062,-0.7652166508640783,,,0.0
2010-08-13,-0.616482078763346,-0.49650261813314034,,,0.0
2010-08-20,-0.4988678523733967,-0.1255740530577628,,,0.0
2010-08-27,-0.6812409448653384,0.2792920644867076,,,1.0
2010-09-03,-0.7997788711905935,0.5840578120810835,,,1.0
2010-09-10,-0.8072516261221778,0.7402805351774568,,,1.0
2010-09-17,-0.9202453845967054,0.9608790178751753,,,1.0
2010-09-24,-0.917609866615302,0.7833993940588332,,,1.0
2010-10-01,-0.8696113682953162,0.46268188479197436,,,1.0
2010-10-08,-0.8439429973557594,0.11780295492938908,,,1.0
2010-10-15,-0.41168056980718665,-1.0276141341167966,,,0.0
2010-10-22,0.04781925541039067,-1.8718956168284397,,,0.0
2010-10-29,0.5156351730961019,-2.3448014922644655,,,0.0
2010-11-05,0.8551677684858402,-2.565351077991979,,,0.0
2010-11-12,1.115162908042028,-1.2833126516414608,,,0.0
2010-11-19,1.1965998455664217,-0.037746374105663616,,,0.0
2010-11-26,1.0977841193074793,0.9082130638532232,,,1.0
2010-12-03,0.8513591717496698,1.5527461563511056,,,1.0
2010-12-10,0.5221613218909782,1.1538537999207557,,,1.0
2010-12-17,0.4307654486668906,0.681219992462738,,,1.0
2010-12-24,0.19890580052824913,-0.01702112908342157,,,0.0
2010-12-31,0.12481821417104333,-0.4988176611938544,,,0.0
2011-01-07,-0.07027517941109596,-0.6893087814497149,,,0.0
2011-01-14,-0.461636005725802,-1.0427233888259004,,,0.0
2011-01-21,-0.700672907799645,-1.0454287781263927,,,0.0
2011-01-28,-0.8106140570487195,-1.2092074574975455,,,0.0
2011-02-04,-0.8783716690077226,-1.368791316711364,,,0.0
2011-02-11,-0.6486276780167237,-1.100309754772035,,,0.0
2011-02-18,-0.1773497220264959,-0.8819111045491399,,,0.0
2011-02-25,0.05151404770246781,-0.32891217714145715,,,0.0
2011-03-04,0.14825640109841787,-0.001014369398869619,,,0.0
2011-03-11,0.028729687281339733,0.193137389038244,,,1.0
2011-03-18,-0.2195631500613897,0.5151701263946467,,,1.0
2011-03-25,-0.2470445515138615,0.3349725577772728,,,1.0
2011-04-01,-0.33307417365498254,0.37319111341576894,1.1187532718695476,-2.3343448245384146,1.0
2011-04-08,-0.17510635361399046,0.0928859787316525,1.1143620665819955,-2.313625716506695,1.0
2011-04-15,-0.018470441485526845,-0.5129583966925559,1.1162297611925314,-2.293968915432904,0.0
2011-04-22,-0.16087925877740045,-0.6070059453973068,1.1120882383849593,-2.274264108321958,0.0
2011-04-29,-0.160770247652668,-0.7960725502805668,1.107887380279101,-2.2550519042405344,0.0
2011-05-06,-0.6199177346123316,-0.4937225614231046,1.092038933814008,-2.240829263832691,0.0
2011-05-13,-0.9998738898424343,0.03249973976617332,1.0737955689308651,-2.2372575791162066,1.0
