datetime,strategy,benchmark
2010-04-09,1.0,0.9779096020186817
2010-04-16,0.9637760374226648,0.9430725869523515
2010-04-23,0.9064795812538553,0.8870069502855372
2010-04-30,0.8572812976814166,0.8388655245178331
2010-05-07,0.8532126068685659,0.8348842356899376
2010-05-14,0.8408074732041814,0.8227455841338704
2010-05-21,0.8551579779392025,0.8367878170791093
2010-05-28,0.812178849634442,0.7947319491788039
2010-06-04,0.8116915423246612,0.8200244956984964
2010-06-11,0.8116915423246612,0.7965469918987118
2010-06-18,0.8116915423246612,0.8070329216285212
2010-06-25,0.8116915423246612,0.7399914412619711
2010-07-02,0.8116915423246612,0.7813301459412398
2010-07-09,0.8116915423246612,0.7650006640400195
2010-07-16,0.8116915423246612,0.8259949532958519
2010-07-23,0.8116915423246612,0.84651231425325
2010-07-30,0.8116915423246612,0.8541325423878877
2010-08-06,0.8116915423246612,0.8414774152611151
2010-08-13,0.8116915423246612,0.8546076999129368
2010-08-20,0.8116915423246612,0.8482742337715996
2010-08-27,0.8286117350774058,0.8664659790163352
2010-09-03,0.8279625939342847,0.8657871825519795
2010-09-10,0.8086153655164774,0.8455560966252009
2010-09-17,0.8099954960338089,0.8469992769342009
2010-09-24,0.8370110569988347,0.8752490150073043
2010-10-01,0.8662336978504723,0.9058066610592175
2010-10-08,0.9443027985455806,0.9874422654094176
2010-10-15,0.9437362168664533,0.999557306653681
2010-10-22,0.9437362168664533,1.0006079655289448
2010-10-29,0.9437362168664533,1.0430415984181092
2010-11-05,0.9437362168664533,0.9735534994909026
2010-11-12,0.9437362168664533,0.9291306978322783
2010-11-19,0.9437362168664533,0.9395546504936032
2010-11-26,0.9388241296500941,0.9352280608555789
2010-12-03,0.941031294252696,0.9374267711422966
2010-12-10,0.9596040659221075,0.9559284017294555
2010-12-17,0.9409661162375856,0.9373618427848364
2010-12-24,0.9404015365678431,0.931296943940266
2010-12-31,0.9404015365678431,0.933221184352266
2011-01-07,0.9404015365678431,0.9052872341995367
2011-01-14,0.9404015365678431,0.8812814496731449
2011-01-21,0.9404015365678431,0.8958401581890891
2011-01-28,0.9404015365678431,0.9017368335620582
2011-02-04,0.9404015365678431,0.9217613292605544
2011-02-11,0.9404015365678431,0.9420957103014741
2011-02-18,0.9404015365678431,0.9446131597975415
2011-02-25,0.9404015365678431,0.9702096890817062
2011-03-04,0.9404015365678431,0.955895937550725
2011-03-11,0.9345443050991962,0.9505157377484613
2011-03-18,0.9597107381447808,0.9761122670326262
2011-03-25,0.9486204456162182,0.9648324405684181
2011-04-01,0.975948644212242,0.9926276801393006
2011-04-08,0.9709519190070656,0.9875455605235585
2011-04-15,0.9703693478556613,0.9717059925922644
2011-04-22,0.9703693478556613,0.9422993492407807
2011-04-29,0.9703693478556613,0.9226496672421678
2011-05-06,0.9703693478556613,0.92093201705845
2011-05-13,0.9681918400839389,0.9194180058140389
2011-05-20,0.918860925736242,0.8725721959065618
2011-05-27,0.9254184907380464,0.8787994156447825
2011-06-03,0.9248632396436035,0.867794059055292
2011-06-10,0.9248632396436035,0.8526096772765502
2011-06-17,0.9248632396436035,0.8937978662180703
2011-06-24,0.9248632396436035,0.9045523632446466
2011-07-01,0.9248632396436035,0.9142709578408365
2011-07-08,0.9248632396436035,0.9242846813345724
2011-07-15,0.9248632396436035,0.9004087535231007
2011-07-22,0.9248632396436035,0.8762701609928131
2011-07-29,0.9248632396436035,0.8453996783095011
2011-08-05,0.9303330687077697,0.8509067835377094
2011-08-12,0.906506588204233,0.8291144657429126
2011-08-19,0.9279484845945365,0.8487257809848445
2011-08-26,0.8973102895266761,0.8207032921628515
2011-09-02,0.8967719033529601,0.8005194268596805
2011-09-09,0.8967719033529601,0.802254784777251
2011-09-16,0.8967719033529601,0.7806897162335644
2011-09-23,0.8967719033529601,0.7638968819631968
2011-09-30,0.8967719033529601,0.7847329821299446
2011-10-14,0.8483792489750276,0.7428571428571422
