date,GMX,GMVX,GMX_full,GMVX_full,position_combined
2008-08-08,-2.928842933454799,0.563872885950488,-2.9212138807816723,0.7129608277759545,1.0
2008-08-15,-2.7542053474855672,0.4295219718226908,-2.75006005164215,0.4508160588899136,1.0
2008-08-22,-2.629559113877657,0.12126548120055647,-2.630667750482824,0.024654389953216522,1.0
2008-08-29,-2.3814737443034115,0.5178127324737383,-2.3667089818222085,0.13886675515799085,1.0
2008-09-05,-2.114239342469061,0.5776209193529034,-2.0971794547802536,0.19842981775271598,1.0
2008-09-12,-2.1584133377946215,0.6944255909780812,-2.1418598617980695,0.3496564981332345,1.0
2008-09-19,-1.8798198187033384,0.6943891895304426,-1.8724777845369205,0.4169441671976004,1.0
2008-09-26,-1.9360840383060882,0.5656884342662651,-1.955267978021192,0.4233356257454305,1.0
2008-10-03,-2.0528590719257105,0.5278948567281605,-2.084194623892058,0.44384119629808916,1.0
2008-10-10,-2.117968783836367,0.47995374830413673,-2.149843679749161,0.38794679090046097,1.0
2008-10-17,-2.46595686023388,0.3353399428878903,-2.5014524291190643,0.24402486397321965,1.0
2008-10-24,-2.577296445232204,0.24314574459561458,-2.600570880119437,0.08124518199683428,1.0
2008-10-31,-2.8865322760976495,0.0033820291578191275,-2.92022977205443,-0.11737607191484527,1.0
2008-11-07,-2.7430923115695913,0.2960222089643385,-2.7532374390549115,0.061272278071005146,1.0
2008-11-14,-2.603893276562957,0.6735804435186385,-2.6012288825983934,0.4103247833675626,1.0
2008-11-21,-2.540667450664254,0.8121999334550267,-2.524606588125072,0.49227619399234523,1.0
2008-11-28,-2.1593710666261106,0.893283391993824,-2.1272741696174546,0.5255472507783729,1.0
2008-12-05,-1.9015836932956465,0.6981802776465807,-1.883845102725349,0.3548302150573218,1.0
2008-12-12,-1.8251285524521041,0.584689102136861,-1.817337434121737,0.2532686726449545,1.0
2008-12-19,-1.8941017670427565,0.5100479621201982,-1.9296580169050068,0.25369089727453364,1.0
2008-12-26,-1.833028507996454,0.7669816781372407,-1.8650334984254624,0.5087146690043831,1.0
2009-01-02,-1.6671357333195105,1.1581686304519865,-1.6956044305138183,0.9134223021465371,1.0
2009-01-09,-1.3959629956714732,1.0241822929377467,-1.4123956704838612,0.7290189585189183,1.0
2009-01-16,-0.9225459976133822,0.5317558681453172,-0.9464937850059307,0.21032750142169973,1.0
2009-01-23,-1.111317585134533,0.2276478447323818,-1.1650076202955366,-0.021593976765770056,1.0
