date,GMX_roll,GMVX_roll,position,close,equity_no_cost,equity_default,bench_equity
2009-04-10,-2.25640912980415,0.17314316530555496,1.0,2595.53,1.0003461538461538,1.0003461538461538,1.0
2009-04-17,-1.9905344294994196,0.12897019773228918,1.0,2650.691,1.0086431416586774,1.0080429339663697,1.0212523068506238
2009-04-24,-1.4510661678657555,-0.26127460695082366,0.0,2572.888,0.9793398609335808,0.978757090582365,0.9912765408221057
2009-05-01,-1.1712779264971076,-0.41811693038556325,0.0,2622.926,0.9796788631931347,0.9785086368593711,1.010555069677484
2009-05-08,-1.367907656723843,-0.3741042314969338,0.0,2789.219,0.9800179827996246,0.9788473513875147,1.0746240652198205
2009-05-15,-1.1739031061422214,-0.5723609020946494,0.0,2796.116,0.9803572197936705,0.9791861831629949,1.0772813259719596
2009-05-22,-1.013756777019892,-0.37669474141156106,0.0,2740.677,0.9806965742159067,0.9795251322263974,1.0559219119023862
2009-05-29,-0.7364953376743065,-0.25257273209375736,0.0,2759.712,0.9810360461069814,0.9798641986183219,1.0632556741782988
2009-06-05,-0.653934859575397,-0.3034387296133428,0.0,2939.306,0.9813756355075568,0.980203382379382,1.1324492492862728
2009-06-12,-0.39661445709534554,-0.22424360027697388,0.0,2906.286,0.9817153424583094,0.9805426835502056,1.1197273774527745
2009-06-19,-0.5635136914450181,0.1896715900186599,1.0,3080.001,0.9820551669999295,0.9808821021714345,1.186655904574403
2009-06-26,-0.6956198414836873,0.32620878891831284,1.0,3128.421,0.9901882010443804,0.9884168920459837,1.2053110540043843
2009-07-03,-0.5733534390040097,0.30719055806536655,1.0,3327.135,1.0537270948232775,1.0518421235794815,1.281871139998382
2009-07-10,-0.7810133159300616,0.4931059710304551,1.0,3398.31,1.069369101293438,1.067456148675208,1.3092932849938164
2009-07-17,-0.7555927911952709,0.36455111428034404,1.0,3519.809,1.1167728092074243,1.1147750579475857,1.3561041482857068
2009-07-24,-0.9759334218088104,0.37077091007040486,1.0,3667.556,1.1634449676858645,1.16136372642463,1.4130277823797068
2009-07-31,-0.9402122076961965,0.28783318908524325,1.0,3734.622,1.1868608724360938,1.1847377433774224,1.438866821034625
2009-08-07,-0.7510545297348354,-0.15844273263746667,0.0,3555.095,1.1348551052596854,1.1328250072866912,1.3696990595369731
2009-08-14,-0.31702004052908384,-0.73855503518952,0.0,3344.462,1.1352479397191984,1.1325374440156109,1.2885468478499575
2009-08-21,0.13835406062151356,-1.2283584687574396,0.0,3203.624,1.1356409101598703,1.13292947620777,1.2342850978412887
2009-08-28,0.6648488626663126,-1.7387208074233735,0.0,3046.781,1.1360340166287717,1.1333216441033802,1.1738569771877034
2009-09-04,0.6664019712416888,-1.3689902767828328,0.0,3077.142,1.1364272591729891,1.1337139477494158,1.1855543954413934
