datetime,rev_growth,pb_proxy,indicator,score,position
2010-06-30,0.6906852453531143,0.6056696414446391,1.1403662955694733,0,0.0
2010-07-31,0.36811653171881153,0.6811247825157802,0.5404538803582338,0,0.0
2010-08-31,0.22765902971657925,0.6586677077837111,0.34563563239286116,0,0.0
2010-09-30,0.13518185634331914,0.6446475413775571,0.20969886281493758,0,0.0
2010-10-31,0.1467468676377517,0.8796244851039372,0.16682899364768358,0,0.0
2010-11-30,0.07726190130513344,0.7401314379598541,0.1043894332040578,0,0.0
2010-12-31,0.01442410846324882,0.7422081953166554,0.019434046342071073,0,0.0
2011-01-31,-0.06808094470114912,0.7402724109200546,-0.09196742131255989,0,0.0
2011-02-28,-0.017300871292918685,0.8339158097932703,-0.020746544303084518,0,0.0
2011-03-31,0.005371606034431764,0.7975105664215222,0.006735466914920617,0,0.0
2011-04-30,-0.016236029407280528,0.7872028488774291,-0.020624962715053066,0,0.0
2011-05-31,-0.007501914370040219,0.7634408314602834,-0.009826451587205277,0,0.0
2011-06-30,0.041698793984538574,0.7738783368127434,0.05388288055235806,-1,0.0
2011-07-31,0.1391118074028055,0.7296494008094304,0.19065568648241604,-1,0.0
2011-08-31,0.12625258240866,0.6818852107664215,0.18515225204364724,-1,0.0
2011-09-30,0.08347193182230028,0.6650348836887251,0.12551511788270342,1,1.0
2011-10-31,-0.0583558388301616,0.7174989735924334,-0.08133229590278121,1,1.0
2011-11-30,-0.1813648123975795,0.6240390626910086,-0.2906305442090279,1,1.0
2011-12-31,-0.2314823905469452,0.5597052776765273,-0.413579074165398,1,1.0
2012-01-31,-0.2461531065198871,0.618513812207629,-0.39797511658034873,1,1.0
2012-02-29,-0.2718223679982372,0.6801308552015516,-0.39966186788817976,1,1.0
2012-03-31,-0.34050098973649867,0.6755615857905735,-0.5040265712237452,1,1.0
2012-04-30,-0.36759626715950666,0.772221588870043,-0.47602433350431667,-1,0.0
2012-05-31,-0.36706920618241945,0.8441154144100187,-0.4348566557559866,-1,0.0
2012-06-30,-0.3869715446082276,0.7769404538731831,-0.4980710460873896,1,1.0
2012-07-31,-0.4266513659279798,0.7595730349125303,-0.5616989365309835,1,1.0
2012-08-31,-0.4385233229334523,0.672771051623111,-0.6518165754538363,1,1.0
2012-09-30,-0.4141749544571375,0.7827343151763229,-0.5291386188477482,-1,0.0
2012-10-31,-0.3693243135309714,0.7561167154116384,-0.4884488148498438,-1,0.0
2012-11-30,-0.33193052151504787,0.6666437802738832,-0.49791287541702994,-1,0.0
2012-12-31,-0.25698630836686087,0.8974995609988359,-0.28633585968650316,-1,0.0
2013-01-31,-0.157740558109154,1.0115669463890646,-0.15593684498315397,-1,0.0
2013-02-28,-0.1575518428956142,1.0640062677695927,-0.14807416804590812,-1,0.0
2013-03-31,-0.10089899531967406,0.9222193506263858,-0.10940888981687695,-1,0.0
2013-04-30,-0.05515580359301531,0.9673623136528061,-0.057016696654994106,-1,0.0
2013-05-31,-0.029762171554389205,1.047698478155467,-0.02840719173973337,-1,0.0
2013-06-30,0.004084899867205394,0.8148538975806575,0.0050130457488559215,-1,0.0
2013-07-31,0.10620734658576736,0.876394749963158,0.12118665314943079,-1,0.0
2013-08-31,0.21720444337392553,0.9182594357949,0.2365392991425135,-1,0.0
2013-09-30,0.28760248400692356,0.9470385363695609,0.3036861468271794,-1,0.0
2013-10-31,0.376903568172142,0.9297280805755841,0.405391184849236,-1,0.0
2013-11-30,0.5197681098000231,0.9848004119024256,0.5277903050385014,-1,0.0
2013-12-31,0.4876887886733863,0.9937681363929995,0.4907470574006439,1,1.0
