datetime,abs_strategy,abs_benchmark,rel_strategy,rel_benchmark
2010-06-30,1.0,1.1136079900124844,1.0,0.9922750319840863
2010-07-31,1.0,1.0517322097378279,1.0,0.9235174935432131
2010-08-31,1.0,1.004197877652934,1.0,0.8633594683681929
2010-09-30,1.0,1.3069132334581774,1.0,0.9999630478901425
2010-10-31,1.0,1.0769662921348315,1.0,0.9016360618896745
2010-11-30,1.0,1.0554931335830213,1.0,0.8754994205409637
2010-12-31,1.0,1.029385143570537,1.0,0.8738392147543146
2011-01-31,1.0,1.139497503121099,1.0,0.9224745459905007
2011-02-28,1.0,1.082833957553059,1.0,0.8806294371516429
2011-03-31,1.0,1.042415730337079,1.0,0.8572320054848934
2011-04-30,1.0,0.9879525593008742,1.0,0.8652687111491582
2011-05-31,1.0,0.9966916354556805,1.0,0.8567411446315588
2011-06-30,1.0,0.9227059925093635,1.0,0.8164454061465468
2011-07-31,1.0,0.8666042446941326,1.0,0.7989000903311323
2011-08-31,1.0,0.8361735330836457,1.0,0.8447993756196326
2011-09-30,1.0586507969094097,0.8864700374531836,1.026135874275299,0.868146144952108
2011-10-31,0.9656729107060641,0.8086142322097379,0.9653328240538102,0.8167046789879687
2011-11-30,0.8322909240238945,0.6969257178526842,0.9192482964873154,0.7777155880188541
2011-12-31,0.900836256847287,0.7543227215980026,0.9573016516709941,0.8099100316918573
2012-01-31,0.979352158746404,0.820068664169788,0.9766743451642748,0.8262999948489373
2012-02-29,0.9638278895126122,0.8070692883895132,1.0258128438761112,0.8678728501548127
2012-03-31,1.1276806807533046,0.9442727840199752,1.1116365350599196,0.9404826365531335
2012-04-30,1.1259891597321747,0.9873439450686643,1.1099690802573297,0.9929495091535432
2012-05-31,1.1259891597321747,0.8977996254681647,1.1099690802573297,0.963244431470696
2012-06-30,1.0560922146905545,0.843414481897628,1.1045225066562843,0.9599626964628488
2012-07-31,0.9214378193341429,0.7358770287141073,1.0257409099992447,0.8914920283662007
2012-08-31,1.056737055068839,0.8439294631710361,1.1340232565486545,0.9856023907594257
2012-09-30,1.0551519494862358,0.8066479400749064,1.1323222216638316,0.9572637275411217
2012-10-31,1.0551519494862358,0.6888264669163545,1.1323222216638316,0.8683091912458629
2012-11-30,1.0551519494862358,0.917696629213483,1.1323222216638316,0.9881226330541479
2012-12-31,1.0551519494862358,0.9948657927590512,1.1323222216638316,1.0226637508886947
2013-01-31,1.0551519494862358,1.0415886392009988,1.1323222216638316,1.072735754158988
2013-02-28,1.0551519494862358,0.8832240948813982,1.1323222216638316,0.984077119830252
2013-03-31,1.0551519494862358,0.9042759051186017,1.1323222216638316,1.0280460133117784
2013-04-30,1.0551519494862358,0.982896379525593,1.1323222216638316,1.0450639061914362
2013-05-31,1.0551519494862358,0.7515137328339575,1.1323222216638316,0.9670285861113308
2013-06-30,1.0551519494862358,0.8142478152309612,1.1323222216638316,1.0393920786637014
2013-07-31,1.0551519494862358,0.8375624219725344,1.1323222216638316,1.0154592386648738
2013-08-31,1.0551519494862358,0.858302122347066,1.1323222216638316,1.002759998657531
2013-09-30,1.0551519494862358,0.8376404494382022,1.1323222216638316,0.992146977229697
2013-10-31,1.0551519494862358,0.9098314606741572,1.1323222216638316,1.056753308886859
2013-11-30,1.0551519494862358,0.8781367041198502,1.1323222216638316,1.0637717955215114
2013-12-31,0.9950090477914049,0.8294007490636703,1.1341040501485957,1.067041410371409
2014-01-31,0.9436747584664249,0.7866104868913857,1.0825568619837325,1.0185423468569905
2014-02-28,0.9422592463287253,0.7549625468164793,1.0809330266907569,0.9917079461818893
2014-03-31,0.9422592463287253,0.7827247191011236,1.0809330266907569,1.0240725790401086
2014-04-30,0.9422592463287253,0.7809612983770288,1.0809330266907569,1.0193629338708796
2014-05-31,0.930339489873679,0.7722534332084895,1.0614676998913606,1.002535399145101
2014-06-30,1.0591198622140319,0.8791510611735331,1.1242187549738998,1.0618025384658627
2014-07-31,1.0548334498208056,0.8755930087390762,1.1198177345950129,1.057645861138192
2014-08-31,1.1471605167643784,0.9522315855181025,1.160452658586546,1.0960247489246522
2014-09-30,1.2179239213613255,1.010970661672909,1.2061236691029116,1.1391601215432168
2014-10-31,1.732030207787499,1.4377184769038702,1.5667306720413294,1.4797463547958973
2014-11-30,2.706455825126598,2.246566791510612,2.0375823651419918,1.9244565330981969
2014-12-31,2.7023961413889084,1.845193508114857,2.034525991594279,1.6917465690829316
2015-01-31,2.7023961413889084,2.129260299625469,2.034525991594279,1.8297167545898845
2015-02-28,2.7023961413889084,2.353792134831461,2.034525991594279,1.7921094550086258
2015-03-31,2.7023961413889084,2.5600031210986276,2.034525991594279,1.6398759511338654
2015-04-30,2.7023961413889084,2.412375156054932,2.034525991594279,1.5090760149622537
2015-05-31,2.7023961413889084,2.0402465667915113,2.034525991594279,1.4171117156570499
2015-06-30,2.7023961413889084,1.5891697877652937,2.034525991594279,1.31044424477117
2015-07-31,2.7023961413889084,1.1779806491885145,2.034525991594279,1.134755295433421
2015-08-31,2.7023961413889084,1.237609238451935,2.034525991594279,1.1824025824494084
2015-09-30,2.7023961413889084,1.3550405742821474,2.034525991594279,1.2361863389285503
2015-10-31,3.0543837289838884,1.5335674157303374,2.2569055141659113,1.3731593286408312
2015-11-30,3.2093547506760833,1.6113764044943824,2.267804026286676,1.3797902635616774
2015-12-31,2.349212742190364,1.1795099875156059,2.1389183848854754,1.3013729263240028
2016-01-31,2.3456889230770783,1.1237827715355808,2.1357100073081474,1.2654370577214857
2016-02-29,2.3456889230770783,1.3794319600499378,2.1357100073081474,1.4073572995254477
2016-03-31,2.2311937275173337,1.3141697877652936,2.067251189210407,1.3643563975070085
2016-04-30,2.2946756561157704,1.3515605493133585,2.1174720332230637,1.3975014406321455
2016-05-31,2.2974576271102762,1.3531991260923846,2.130736776025675,1.406255982314591
2016-06-30,2.2348765272148223,1.3163389513108614,2.0460369221733625,1.3503552828376928
2016-07-31,2.3562234524989787,1.3878121098626717,2.0737189216455643,1.3686250089710275
2016-08-31,2.274142060680133,1.3394662921348317,2.039739997419303,1.3461994020150523
2016-09-30,2.351056934937754,1.3847690387016232,2.062908228567203,1.3614901052206128
2016-10-31,2.4904469292434195,1.4668695380774033,2.0583953822178294,1.358511690783185
2016-11-30,2.2360688004981824,1.3170411985018726,1.9817415952044148,1.307921281039685
2016-12-31,2.242613056075734,1.3208957553058676,1.9415074884197039,1.2813673425167775
2017-01-31,2.2584570432634905,1.33022784019975,1.9201377592209992,1.267263625030766
2017-02-28,2.1549412273060233,1.2692571785268412,1.8186629912265477,1.2002917206867905
2017-03-31,2.1154902291077464,1.2460205992509361,1.8107407254600916,1.195063137901288
2017-04-30,2.088147428476032,1.2299157303370782,1.7570690697968523,1.1596406081423847
2017-05-31,2.0850152073333184,1.2534800249687885,1.754433466192157,1.1212981196870786
2017-06-30,2.0850152073333184,1.2999999999999994,1.754433466192157,1.1410474607620171
2017-07-31,2.0850152073333184,1.3793071161048682,1.754433466192157,1.1842276521893358
2017-08-31,2.0850152073333184,1.3806179775280893,1.754433466192157,1.159107389969158
2017-09-30,2.0850152073333184,1.2562109862671655,1.754433466192157,1.025671985434911
2017-10-31,2.0850152073333184,1.2570068664169782,1.754433466192157,1.0274350230891616
2017-11-30,2.0850152073333184,1.1560237203495625,1.754433466192157,0.9342061506307061
2017-12-31,2.0850152073333184,1.241260923845193,1.754433466192157,0.9497105907526258
2018-01-31,2.0850152073333184,1.0859394506866413,1.754433466192157,0.893381636573966
2018-02-28,2.0850152073333184,1.0774656679151058,1.754433466192157,0.9082950662008562
2018-03-31,2.0850152073333184,1.0756086142322094,1.754433466192157,0.9363487379877181
2018-04-30,2.0850152073333184,0.9973314606741571,1.754433466192157,0.8633033052579758
2018-05-31,2.0850152073333184,0.8997347066167288,1.754433466192157,0.8437943421431425
2018-06-30,2.0850152073333184,0.9006710362047439,1.754433466192157,0.8385157810894219
2018-07-31,2.0850152073333184,0.8500936329588014,1.754433466192157,0.8411548976152557
2018-08-31,2.0836866292435556,0.8508270911360798,1.7317225247827417,0.8315279756102286
2018-09-30,2.2033091444126156,0.8996722846441945,1.921991742657189,0.922890289893188
2018-10-31,2.345289222320941,0.9576466916354553,2.000292212838298,0.9604881328081176
2018-11-30,2.0839923736912715,0.8509519350811482,1.9268830114547115,0.9252389495561324
2018-12-31,2.2847136036171194,0.9329119850187261,1.979209269081999,0.9503646532721687
2019-01-31,2.953262056605097,1.2058988764044938,2.267842655314701,1.0889588748711023
2019-02-28,2.9488321635201897,1.2741573033707858,2.2644408913317293,1.0911489713144342
2019-03-31,2.9488321635201897,1.1329744069912602,2.2644408913317293,1.0055114037416344
2019-04-30,2.9488321635201897,1.0767478152309606,2.2644408913317293,0.9914272272108271
2019-05-31,2.9488321635201897,1.2171972534332078,2.2644408913317293,1.0502917808668852
2019-06-30,2.9488321635201897,1.1382022471910107,2.2644408913317293,1.0036796317424939
2019-07-31,2.9488321635201897,1.091120474406991,2.2644408913317293,0.9662698011638869
2019-08-31,2.9488321635201897,1.110127965043695,2.2644408913317293,0.9793172541981509
2019-09-30,2.9488321635201897,1.0836766541822718,2.2644408913317293,0.9392564549325616
2019-10-31,2.9488321635201897,1.0787921348314604,2.2644408913317293,0.9467037095389789
2019-11-30,2.9488321635201897,1.253995006242197,2.2644408913317293,1.02990180742449
2019-12-31,2.9488321635201897,1.053620474406991,2.2644408913317293,0.9856439942109834
2020-01-31,2.9488321635201897,1.1839575530586766,2.2644408913317293,1.0185018086971025
2020-02-29,2.9488321635201897,1.0893882646691637,2.2644408913317293,1.0106815934543472
2020-03-31,2.968360150616359,1.0982365792759052,2.1656949692648015,0.9681246235912276
2020-04-30,2.963762619441692,1.0965355805243446,2.143037180644055,0.9579959751014006
2020-05-31,2.9593169755125297,1.1909644194756555,2.139822624873089,0.9739775658532848
2020-06-30,2.9593169755125297,1.4922284644194757,2.139822624873089,1.088876897309906
2020-07-31,2.9593169755125297,1.4745942571785267,2.139822624873089,1.0604919591783275
2020-08-31,2.9593169755125297,1.4390605493133581,2.139822624873089,1.0657976038259
2020-09-30,2.9593169755125297,1.3509207240948813,2.139822624873089,0.9915745953207714
2020-10-31,2.9593169755125297,1.4283395755305868,2.139822624873089,0.9934988529872284
2020-11-30,2.9593169755125297,1.4497034956304622,2.139822624873089,0.9583548541043239
2020-12-31,2.9593169755125297,1.3627808988764045,2.139822624873089,0.8744344477458337
2021-01-31,2.9593169755125297,1.2874687890137329,2.139822624873089,0.8208212275652337
2021-02-28,2.801031252640463,1.2205368289637952,2.1561232134423536,0.8283052529624272
2021-03-31,2.7968297057615024,1.2190387016229713,2.15288902862219,0.8209272348366263
2021-04-30,2.7968297057615024,1.3303838951310862,2.15288902862219,0.8602197568952951
