datetime,组1,组2,组3,组4,组5,多空(组1-组5),全行业等权
2006-10-31,0.017271814197958292,0.03053989859377073,0.022404679997264344,0.08329341676148261,0.08051155717063478,-0.06323974297267648,0.047463905230507177
2006-11-30,0.14849757946455816,0.03412680447160181,0.05901542041938462,0.12621148621535622,0.15422048539157573,-0.005722905927017574,0.10753222077204215
2006-12-31,0.07370237105543542,0.04095908426520136,0.1390355895338903,0.07103595954026753,0.14390802993820262,-0.0702056588827672,0.09282529447888065
2007-01-31,0.22316371876118546,0.23323885962678736,0.2527262653714816,0.21367737557354435,0.200613364648199,0.022550354112986448,0.22373669713408992
2007-02-28,0.266383993165234,0.06891751762764141,0.2007396755246885,0.1220302072304675,0.16514798955121449,0.10123600361401949,0.15972116535376976
2007-03-31,0.0969476797574503,0.10134018961242013,0.20539338265411788,0.11068988281716223,0.2034982056502679,-0.1065505258928176,0.1430312493048908
2007-04-30,0.2607137927650517,0.3233941421667688,0.2916279719125247,0.3218711801004838,0.34204843735935714,-0.08133464459430545,0.31019969218384075
2007-05-31,0.07551372630144375,0.2216132008563606,0.11009126859897611,0.09995288683635813,0.09164436643023231,-0.016130640128788565,0.12168884640142164
2007-06-30,0.03571671236313663,-0.10275912466476443,-0.1295677528273595,-0.11245307673130335,-0.10128658132273834,0.13700329368587497,-0.08458028209406969
2007-07-31,0.23759459375513944,0.20372673404960426,0.21337153480624277,0.24016475400064463,0.2684475379732099,-0.03085294421807047,0.2331737428195594
2007-08-31,0.12465051730832659,0.14082023623924755,0.18590164563201034,0.1589633178672145,0.27951204140588554,-0.15486152409755893,0.1795905138491347
2007-09-30,0.1246660363627797,0.1100475779857681,0.17106468775779873,0.07101942825700382,0.18326862971423274,-0.05860259335145304,0.13088097986946146
2007-10-31,-0.01810418924337389,-0.08092176958951763,-0.03214787494348772,-0.015479654648465032,-0.04361305007005204,0.02550886082667815,-0.038976684527947
2007-11-30,-0.13395175534463222,-0.13761186793793773,-0.14755586470128765,-0.21311591031099042,-0.244212506236105,0.11026075089147278,-0.17775642168356423
2007-12-31,0.1625169463315434,0.22054647045027553,0.21922063916241377,0.16004224998484953,0.20437242332504368,-0.041855476993500285,0.19351624250109994
2008-01-31,-0.1932432908956186,-0.0871781898201135,-0.1140416268894175,-0.0858611386896892,-0.02686539337869276,-0.16637789751692583,-0.09770903286629117
2008-02-29,0.0049426332572080735,0.07524196909590031,0.029702004015908945,0.07200267047207846,0.15099875384180114,-0.14605612058459308,0.07009584095800944
2008-03-31,-0.2303237227994316,-0.26616160828353824,-0.2243561201309669,-0.211241593713002,-0.20162829980387653,-0.02869542299555508,-0.22669957948051758
2008-04-30,0.045490262589428766,-0.036963588914497726,-0.0677772573449994,0.015572549532051394,0.01493087230344231,0.030559390285986456,-0.005364142008995618
2008-05-31,-0.04270308089337538,-0.017304910202379047,-0.04553078689378596,-0.10028239525439704,-0.014804434332787442,-0.027898646560587936,-0.04412570634547099
2008-06-30,-0.2906312270482721,-0.2151084801019374,-0.23526329302917165,-0.2080786588950021,-0.22862030784003007,-0.06201091920824203,-0.23358276005032272
2008-07-31,0.018314337926063073,0.03466810194690029,0.004949640472260386,-0.01491136726010108,0.04025836343604169,-0.021944025509978614,0.017014660026023667
2008-08-31,-0.2687727131368036,-0.18582947647174708,-0.20671548312641713,-0.2551898139811734,-0.27193303855438206,0.0031603254175784357,-0.23768410554856853
2008-09-30,-0.05322584099582291,-0.06896572539203148,-0.05123095307458796,0.004389930415789778,-0.02206621312226568,-0.031159627873557225,-0.037219143533682095
2008-10-31,-0.30680076281133667,-0.31063241727828833,-0.3100813703778339,-0.28550839050957566,-0.2851125210939773,-0.02168824171735939,-0.2989975228298893
2008-11-30,0.1815067499346429,0.22609105420894604,0.11790244134449805,0.1347921558053415,0.14674467411913117,0.034762075815511745,0.17013914484224232
2008-12-31,-0.021540944663789287,0.026122844590530103,0.059696896494799326,-0.03862989033904424,-0.05541023771908932,0.03386929305530003,-0.005444323648008961
2009-01-31,0.15985604066487605,0.16384331606534028,0.16799768497925052,0.18240795212556418,0.1948012665200094,-0.03494522585513335,0.1730758149458698
2009-02-28,0.055247506730416784,0.09658919298132441,0.0575427670805078,0.1101696792495759,0.06404569763687305,-0.008798190906456269,0.07724862050307153
2009-03-31,0.19816216233555356,0.13273560314171728,0.19574277723110564,0.26414639278393864,0.2746540569514238,-0.07649189461587025,0.21382809445095957
2009-04-30,0.06214072603596958,0.03439419555144899,0.022446053569615466,0.046274253426471734,0.0005915740093746883,0.061549152026594896,0.03430965974632842
2009-05-31,0.07572540255672881,0.07727778243727372,0.037070397143990186,0.0960277340312673,0.09378253646359869,-0.018057133906869874,0.08037516863730844
2009-06-30,0.12508685071167286,0.09450039783140814,0.06080883883757575,0.042262826284582854,0.06204666476624473,0.06304018594542812,0.08548055965627403
2009-07-31,0.22392698192379096,0.19175151673881866,0.23016065267702707,0.3189493423764196,0.26982371947384365,-0.04589673755005269,0.24243515861228795
2009-08-31,-0.2383335238366052,-0.19361047016629063,-0.26887090072637665,-0.2161508234444208,-0.2281602237907087,-0.010173300045896505,-0.22347713336692213
2009-09-30,0.019918201488175535,0.018709608908610675,0.026397916782839113,0.01736162094385017,0.020222870415164945,-0.00030466892698940984,0.01825665700451895
2009-10-31,0.07616591010463339,0.10142931353655989,0.09556702150838778,0.1110264699032683,0.11095243557603789,-0.0347865254714045,0.10255686085527156
2009-11-30,0.16110664044805842,0.07980869802909955,0.1423735210327941,0.1204010036046989,0.12522524291513168,0.03588139753292674,0.12399378903967243
2009-12-31,-0.029614784670821303,0.04280660919308419,0.03673826227812227,0.004820674626315617,0.019544569641153104,-0.04915935431197441,0.013658897126002682
2010-01-31,-0.10398077789053269,-0.13257902242566597,-0.07638679722112221,-0.09321987582290316,-0.10171951389625701,-0.002261263994275675,-0.09936202759944213
2010-02-28,0.014854706075172119,0.027872858086938918,0.05274659959254326,0.028689967498594426,0.04047919277036397,-0.02562448669519185,0.03302104739690314
2010-03-31,0.025380224359397508,0.031422529926876885,0.03491803083606241,0.011723678388379047,0.017748736977553987,0.007631487381843521,0.024199275123111087
2010-04-30,-0.035049362438497746,-0.03538726825931806,-0.09093053933387978,-0.10885190374179389,-0.06322784167099203,0.028178479232494287,-0.06778041828373764
2010-05-31,-0.12400996541774448,-0.11574359812336098,-0.0635441173625093,-0.10666474249684528,-0.0745302288067723,-0.04947973661097217,-0.09596365337329826
2010-06-30,-0.1187888935663459,-0.1113744299982512,-0.09891966009825105,-0.09987819061957733,-0.13250544418727042,0.013716550620924528,-0.11206933852592516
2010-07-31,0.13400480672476367,0.13629592787813696,0.1418341972197996,0.12612045263179172,0.16403908843779025,-0.030034281713026578,0.14068144933203205
2010-08-31,0.14683978643754295,0.08773262812025384,0.03199560220732615,0.03479025166999061,-0.006370649541849164,0.1532104359793921,0.055968480238691144
2010-09-30,-0.009969465777858021,0.03232601073085325,0.026643837575576774,0.030668634799732697,0.06558152075222133,-0.07555098653007936,0.030395610146931522
2010-10-31,0.19772913320198698,0.11846666157039598,0.09659148356776086,0.1359128797476108,0.24027982528492628,-0.042550692082939295,0.156418991966693
2010-11-30,0.02010643208524334,-0.008158626959459939,-0.04954730075146352,-0.10557677824272937,-0.1313741587068911,0.15148059079213444,-0.05749686301851886
2010-12-31,0.03871007704746572,0.05739698896051302,0.004095532070659491,-0.020675220510350995,-0.023617570722818004,0.062327647770283726,0.010232716000874126
2011-01-31,-0.05255866827459301,-0.02522393204109911,-0.05081097312353242,-0.030504428059602833,-0.013770623175132965,-0.038788045099460045,-0.03395355447479893
