datetime,sentiment,upper,lower,signal,position,state_ls
2005-08-26 15:00:00,5.377632796165626,,,0,0.0,0.0
2005-08-29 15:00:00,5.321176341618686,,,0,0.0,0.0
2005-08-30 15:00:00,5.196752579287095,,,0,0.0,0.0
2005-08-31 15:00:00,5.029769711664765,,,0,0.0,0.0
2005-09-01 15:00:00,4.982880874424038,,,0,0.0,0.0
2005-09-02 15:00:00,4.867859420929269,,,0,0.0,0.0
2005-09-05 15:00:00,4.714269726025925,,,0,0.0,0.0
2005-09-06 15:00:00,4.533115151058368,,,0,0.0,0.0
2005-09-07 15:00:00,4.315199919456374,,,0,0.0,0.0
2005-09-08 15:00:00,4.084331277265813,,,0,0.0,0.0
2005-09-09 15:00:00,3.8523895790364526,,,0,0.0,0.0
2005-09-12 15:00:00,3.510535728313871,,,0,0.0,0.0
2005-09-13 15:00:00,3.220731210616073,,,0,0.0,0.0
2005-09-14 15:00:00,2.9614377792829925,,,0,0.0,0.0
2005-09-15 15:00:00,2.8226632777307676,,,0,0.0,0.0
2005-09-16 15:00:00,2.6855558544655205,,,0,0.0,0.0
2005-09-19 15:00:00,2.5333201134649324,,,0,0.0,0.0
2005-09-20 15:00:00,2.4381763936732614,,,0,0.0,0.0
2005-09-21 15:00:00,2.297248139213572,,,0,0.0,0.0
2005-09-22 15:00:00,2.1614448852980277,,,0,0.0,0.0
2005-09-23 15:00:00,2.0275529776870003,,,0,0.0,0.0
2005-09-26 15:00:00,1.9492085681184026,,,0,0.0,0.0
2005-09-27 15:00:00,1.8661660154264386,,,0,0.0,0.0
2005-09-28 15:00:00,1.7436893086001917,,,0,0.0,0.0
2005-09-29 15:00:00,1.548121727448861,,,0,0.0,0.0
2005-09-30 15:00:00,1.357761552856929,,,0,0.0,0.0
2005-10-10 15:00:00,1.086342171997676,,,0,0.0,0.0
2005-10-11 15:00:00,0.9119249856772035,,,0,0.0,0.0
2005-10-12 15:00:00,0.7226823752250793,,,0,0.0,0.0
2005-10-13 15:00:00,0.5128899311316593,,,0,0.0,0.0
2005-10-14 15:00:00,0.3314527070551204,,,0,0.0,0.0
2005-10-17 15:00:00,0.20475158076595074,,,0,0.0,0.0
2005-10-18 15:00:00,0.06967247896982472,,,0,0.0,0.0
2005-10-19 15:00:00,-0.13788793135245067,,,0,0.0,0.0
2005-10-20 15:00:00,-0.36932628603203776,,,0,0.0,0.0
2005-10-21 15:00:00,-0.5246410152375024,,,0,0.0,0.0
2005-10-24 15:00:00,-0.7235582764867977,,,0,0.0,0.0
2005-10-25 15:00:00,-0.9409125472218403,,,0,0.0,0.0
2005-10-26 15:00:00,-1.0986819272729982,,,0,0.0,0.0
2005-10-27 15:00:00,-1.2177522949523518,,,0,0.0,0.0
2005-10-28 15:00:00,-1.3375231514590051,,,0,0.0,0.0
2005-10-31 15:00:00,-1.4259694880013298,,,0,0.0,0.0
2005-11-01 15:00:00,-1.4791298945802798,,,0,0.0,0.0
2005-11-02 15:00:00,-1.458351996153721,,,0,0.0,0.0
2005-11-03 15:00:00,-1.4818930067759506,,,0,0.0,0.0
2005-11-04 15:00:00,-1.468083925930806,,,0,0.0,0.0
2005-11-07 15:00:00,-1.3943751400974913,,,0,0.0,0.0
2005-11-08 15:00:00,-1.378662537099464,,,0,0.0,0.0
2005-11-09 15:00:00,-1.3633781072776057,,,0,0.0,0.0
2005-11-10 15:00:00,-1.348822753733555,,,0,0.0,0.0
2005-11-11 15:00:00,-1.2892511839069776,,,0,0.0,0.0
2005-11-14 15:00:00,-1.2584985668511073,,,0,0.0,0.0
2005-11-15 15:00:00,-1.2698136152529496,,,0,0.0,0.0
2005-11-16 15:00:00,-1.2323093554640483,,,0,0.0,0.0
2005-11-17 15:00:00,-1.230786995113841,,,0,0.0,0.0
2005-11-18 15:00:00,-1.242823007056016,,,0,0.0,0.0
2005-11-21 15:00:00,-1.1764089969624851,,,0,0.0,0.0
2005-11-22 15:00:00,-1.099095146238469,,,0,0.0,0.0
2005-11-23 15:00:00,-0.9961805213114812,,,0,0.0,0.0
2005-11-24 15:00:00,-0.898857517087231,,,0,0.0,0.0
2005-11-25 15:00:00,-0.7260453521493344,,,0,0.0,0.0
2005-11-28 15:00:00,-0.6024427453079545,,,0,0.0,0.0
2005-11-29 15:00:00,-0.5309437556606165,,,0,0.0,0.0
2005-11-30 15:00:00,-0.47976216770698416,,,0,0.0,0.0
2005-12-01 15:00:00,-0.3742553423875298,,,0,0.0,0.0
2005-12-02 15:00:00,-0.3420272548157065,,,0,0.0,0.0
2005-12-05 15:00:00,-0.331777085477331,,,0,0.0,0.0
2005-12-06 15:00:00,-0.3162012659406348,,,0,0.0,0.0
2005-12-07 15:00:00,-0.28424064155386397,,,0,0.0,0.0
2005-12-08 15:00:00,-0.22728080029676612,,,0,0.0,0.0
2005-12-09 15:00:00,-0.19651551731097364,,,0,0.0,0.0
2005-12-12 15:00:00,-0.1322922126891009,,,0,0.0,0.0
2005-12-13 15:00:00,-0.055058203237656575,,,0,0.0,0.0
2005-12-14 15:00:00,0.05730229876201235,,,0,0.0,0.0
2005-12-15 15:00:00,0.18440713028665942,,,0,0.0,0.0
2005-12-16 15:00:00,0.2704974520977375,,,0,0.0,0.0
2005-12-19 15:00:00,0.3458239406898924,,,0,0.0,0.0
2005-12-20 15:00:00,0.5039964657281617,,,0,0.0,0.0
2005-12-21 15:00:00,0.6234212053593866,,,0,0.0,0.0
2005-12-22 15:00:00,0.717693074156469,,,0,0.0,0.0
2005-12-23 15:00:00,0.7836330625152801,,,0,0.0,0.0
2005-12-26 15:00:00,0.9175824249958586,,,0,0.0,0.0
2005-12-27 15:00:00,1.0792533221445677,,,0,0.0,0.0
2005-12-28 15:00:00,1.2207069986143797,,,0,0.0,0.0
2005-12-29 15:00:00,1.3939906457747793,,,0,0.0,0.0
2005-12-30 15:00:00,1.5891215073713325,,,0,0.0,0.0
2006-01-04 15:00:00,1.8632397282283875,,,0,0.0,0.0
2006-01-05 15:00:00,2.166563614559793,,,0,0.0,0.0
