datetime,long_only,long_short,benchmark
2005-09-14 15:00:00,1.0,1.0,1.0489393599972434
2005-09-15 15:00:00,1.0,1.0,1.0455532387861666
2005-09-16 15:00:00,1.0,1.0,1.053109544898417
2005-09-19 15:00:00,1.0,1.0,1.0432785924764356
2005-09-20 15:00:00,1.0,1.0,1.0216005238579386
2005-09-21 15:00:00,1.0,1.0,0.9971394599438236
2005-09-22 15:00:00,1.0,1.0,0.991651014113147
2005-09-23 15:00:00,1.0,1.0,0.9952008409298484
2005-09-26 15:00:00,1.0,1.0,0.974754872395789
2005-09-27 15:00:00,1.0,1.0,0.9774430907618348
2005-09-28 15:00:00,1.0,1.0,0.9966828074649761
2005-09-29 15:00:00,1.0,1.0,0.9940118212679435
2005-09-30 15:00:00,1.0,1.0,0.9804673364236361
2005-10-10 15:00:00,1.0,1.0,0.9972945494649418
2005-10-11 15:00:00,1.0,1.0,1.0012062518309186
2005-10-12 15:00:00,1.0,1.0,0.9928917302820912
2005-10-13 15:00:00,1.0,1.0,0.9808378280574184
2005-10-14 15:00:00,1.0,1.0,0.9747031758887498
2005-10-17 15:00:00,1.0,1.0,0.9831383226206689
2005-10-18 15:00:00,1.0,1.0,0.9765900983956858
2005-10-19 15:00:00,1.0,1.0,0.978451172649102
2005-10-20 15:00:00,1.0,1.0,0.9833795729868526
2005-10-21 15:00:00,1.0,1.0,0.9823801071840922
2005-10-24 15:00:00,1.0,1.0,0.9645103479174932
2005-10-25 15:00:00,1.0,1.0,0.9425393324257733
2005-10-26 15:00:00,1.0,1.0,0.9456842032706665
2005-10-27 15:00:00,1.0,1.0,0.9297099825955101
2005-10-28 15:00:00,1.0,1.0,0.940600713411798
2005-10-31 15:00:00,1.0,1.0,0.9391532112146963
2005-11-01 15:00:00,1.0,1.0,0.9517240785097627
2005-11-02 15:00:00,1.0,1.0,0.9428236632144895
2005-11-03 15:00:00,1.0,1.0,0.9473643397494449
2005-11-04 15:00:00,1.0,1.0,0.9477175992142137
2005-11-07 15:00:00,1.0,1.0,0.9568592648756704
2005-11-08 15:00:00,1.0,1.0,0.9537488583688034
2005-11-09 15:00:00,1.0,1.0,0.9354396787923701
2005-11-10 15:00:00,1.0,1.0,0.9387741034964074
2005-11-11 15:00:00,1.0,1.0,0.937869414623219
2005-11-14 15:00:00,1.0,1.0,0.9364219124261174
2005-11-15 15:00:00,1.0,1.0,0.9433578604538959
2005-11-16 15:00:00,1.0,1.0,0.9439092898623154
2005-11-17 15:00:00,1.0,1.0,0.963088693973911
2005-11-18 15:00:00,1.0,1.0,0.9647343661146633
2005-11-21 15:00:00,1.0,1.0,0.9448053626509973
2005-11-22 15:00:00,1.0,1.0,0.9523616687632476
2005-11-23 15:00:00,1.0,1.0,0.9592114559459602
2005-11-24 15:00:00,1.0,1.0,0.9596853405938208
2005-11-25 15:00:00,1.0,1.0,0.9560148885940276
2005-11-28 15:00:00,1.0,1.0,0.9437197360031709
2005-11-29 15:00:00,1.0,1.0,0.9467181334114527
2005-11-30 15:00:00,1.0,1.0,0.9475625096930953
2005-12-01 15:00:00,1.0,1.0,0.9418241974117283
2005-12-02 15:00:00,1.0,1.0,0.9284520342575521
