date,单次开仓,两次开仓
2026-01-22,-0.0009626940897564882,0.003802025376527163
2026-01-26,0.0,-0.002123227799653482
2026-01-27,0.0,0.002724044759073596
2026-01-29,-0.0052,0.003591845902667102
2026-01-30,-0.0052,-0.009610360703515551
2026-02-02,0.0,0.007439870385052872
2026-02-03,-0.0052,0.008195264452340601
2026-02-05,-0.0052,0.0002643403786953604
2026-02-09,0.002935422623083972,0.002071932592260417
2026-02-10,-0.0010987956138774012,-0.002362636329182921
2026-02-11,-0.0008368318042293541,-0.0003626490938403613
2026-02-12,-0.0009336539358624439,-0.002524674957405759
2026-02-13,0.0,0.002861145908204166
2026-02-24,0.0,0.0011068290302734597
2026-02-25,0.00015063780171240565,0.00788537655006778
2026-02-26,-0.0009939666999778884,-0.0011517480779679621
2026-03-02,0.0,-0.0005171133384212155
2026-03-03,-0.0052,-0.0052
2026-03-04,-0.0052,-0.0052
2026-03-05,0.0,-0.0052
2026-03-06,0.0045992962756941985,0.004056727910955083
2026-03-09,0.0,0.0008106705994621379
2026-03-10,0.0017160619140903278,0.0016471871312484067
2026-03-11,0.001891729361745509,-0.0016524071022022023
2026-03-12,0.002058326114210396,0.0029245178441818665
2026-03-16,0.0,0.0019280064526647545
2026-03-17,-0.0052,0.0032534186134009647
2026-03-18,-0.0052,0.001911522044678682
2026-03-19,0.0,0.002760716663113483
2026-03-25,0.0005653286281430472,-0.002887635793449572
2026-03-26,-0.0052,-0.0026761722752424604
2026-03-27,0.005877709775951457,0.004302421028875992
2026-04-01,0.0,-0.0014225235622659315
2026-04-02,0.0,0.0010220168183411094
2026-04-03,0.0030545580646826665,0.0015615077411823112
2026-04-07,0.0,-0.0021381637759672278
2026-04-08,0.011734750823542117,0.007620124343756763
2026-04-09,-0.0019118308719843435,-0.0016783997612625388
2026-04-10,0.0005791994750654396,-0.0032965186988902937
2026-04-13,0.0006077718421506397,-0.0026769702622755796
2026-04-14,-0.0052,-0.004438574526498024
2026-04-15,0.00621080017304696,0.0011466285510699282
2026-04-16,0.004144673163532598,-0.0012913201595974753
2026-04-20,0.0016426134365476797,0.002130545431482567
2026-04-21,0.0,0.00042749081324064983
2026-04-22,0.0,0.002021762835169949
2026-04-27,0.0,-0.0021789097587863403
2026-04-29,0.0,0.003614635428948332
2026-04-30,0.0,-0.001068182064232892
2026-05-06,-0.0052,-0.000641977193158305
2026-05-07,-0.0052,-0.0015923137221288018
2026-05-08,0.0,-0.001303071582784776
2026-05-11,0.00567660550365543,0.0061342718077485705
2026-05-13,0.0,0.00556494710937725
2026-05-14,0.008689462518250845,-0.00024741907120444124
2026-05-15,0.0,0.0028117330389987095
2026-05-21,-0.0052,-0.0052
2026-05-22,0.0,0.0025193933724618534
2026-06-02,0.0,-0.0028969165051695666
2026-06-03,-0.0052,0.013135535995521707
2026-06-04,-0.0052,-0.003473553580076327
2026-06-05,-0.0052,0.0031500343730318115
2026-06-08,0.0,-0.0052
